id,Syear,App,Har,Dba,Ifc,Source,Telonuse,Nlan,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,Duration,Size,Time,Effort
1,0.875,0.25,0.25,0.25,1.0,1.0,0.0,0.6666666666666666,0.75,0.3333333333333333,1.0,0.3333333333333333,0.5,0.6666666666666666,0.75,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,0.24,0.20612525808671714,0.875,0.406764525311157
2,1.0,0.25,0.25,0.25,1.0,1.0,0.0,0.6666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.25,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.02,0.028217481073640742,1.0,0.014622983758441703
3,0.625,0.0,0.25,0.25,1.0,1.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.3333333333333333,0.5,1.0,0.25,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.25,0.5,0.5,0.08,0.07088781830695114,0.625,0.09750516269464754
5,0.375,0.25,0.25,0.25,1.0,1.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.75,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.75,0.75,0.16,0.11527873365450791,0.375,0.20321482391025283
6,0.875,0.25,0.5,0.25,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.25,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,1.0,0.75,0.16,0.10220233998623537,0.875,0.1251883685884914
7,0.25,0.25,0.25,0.25,1.0,1.0,0.0,0.3333333333333333,0.75,0.3333333333333333,1.0,0.6666666666666666,0.5,0.3333333333333333,0.5,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.75,0.25,0.5,0.46,0.055402615278733656,0.25,0.37601160908634257
8,0.125,0.25,0.25,0.25,1.0,1.0,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.25,0.3333333333333333,0.75,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.5,0.4,0.1094287680660702,0.125,0.47675392085728635
9,0.25,0.25,0.75,0.5,1.0,0.0,0.0,0.3333333333333333,0.75,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.75,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.75,0.25,1.0,0.38988300068823123,0.25,0.6316347602835296
10,0.25,0.0,0.25,0.25,1.0,1.0,0.0,0.3333333333333333,0.25,0.3333333333333333,0.0,0.3333333333333333,0.5,0.6666666666666666,0.25,1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.25,0.5,0.5,0.18,0.04576737783895389,0.25,0.20745660545850308
11,0.625,0.25,1.0,0.25,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.34,0.23778389538885064,0.625,0.19908466819221968
12,0.75,0.5,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.06,0.02064693737095664,0.75,0.01769269408941229
