Dataset,LLM,Model,Fuzzification,Rules,Inputs,Parameters,Train RMSE,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
albrecht,gemini,Linear Regression,None,0,3,4.0,4.207548773596196,5.837842763322692,3.5032535660957045,36.63185157866764,-0.4280165424997066,,,,
albrecht,gemini,Decision Tree,None,0,3,,0.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,
albrecht,gemini,Sugeno V1 Label-Level,Quantile,20,3,20.0,2.6545859250433805,3.9802595536534113,3.399905170916702,35.25980539528986,0.3361786161830473,7.256870132993313,6.145443852622458,111.07794965274503,-2.578283986414975
albrecht,gemini,Sugeno V2 Full Rule-Level,Quantile,20,3,80.0,0.0007566735601171,17.473270921394988,14.59015605629758,118.5975602887283,-11.793131757680564,17.30556123611371,13.789737470966752,195.44884931767004,-37.89130282374226
albrecht,gpt,Linear Regression,None,0,3,4.0,4.207548773596196,5.837842763322692,3.5032535660957045,36.63185157866764,-0.4280165424997066,,,,
albrecht,gpt,Decision Tree,None,0,3,,0.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,
albrecht,gpt,Sugeno V1 Label-Level,Quantile,20,3,20.0,2.2971292319241043,9.84822795245876,6.462324306797651,62.4691644760132,-3.0639151926640444,7.326532979068427,5.660828351878013,97.8611608285344,-1.7939187008553326
albrecht,gpt,Sugeno V2 Full Rule-Level,Quantile,20,3,80.0,0.0006410824525991,16.872869613835565,11.760847353298098,111.28236972743449,-10.9290635553306,12.012748294359858,9.794668313965447,155.21319571357623,-19.158270039656
albrecht,claude,Linear Regression,None,0,3,4.0,4.207548773596196,5.837842763322692,3.5032535660957045,36.63185157866764,-0.4280165424997066,,,,
albrecht,claude,Decision Tree,None,0,3,,0.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,
albrecht,claude,Sugeno V1 Label-Level,Quantile,20,3,20.0,2.5460076826492863,5.499472569870057,4.039988440534768,34.88711378307174,-0.2672740207680919,6.64564232852514,5.737316827927482,95.26601851302776,-0.9150930200307188
albrecht,claude,Sugeno V2 Full Rule-Level,Quantile,20,3,80.0,0.0007571508704676,21.381833609431773,12.852219268217391,116.6075275088245,-18.156596100902444,15.675455115145713,11.719490111415306,154.35100668527105,-44.033200406551416
desharnais,gemini,Linear Regression,None,0,3,4.0,1965.077148588908,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,
desharnais,gemini,Decision Tree,None,0,3,,0.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,
desharnais,gemini,Sugeno V1 Label-Level,Quantile,20,3,20.0,1812.238764502092,2614.5496920250803,1721.4638111388188,49.53537097083464,-0.7346369582674659,2553.303744665608,1754.9530904848252,73.27909994318634,-0.3105845401722205
desharnais,gemini,Sugeno V2 Full Rule-Level,Quantile,20,3,80.0,1291.1567571639343,4342.35481578615,3747.952862982788,112.27722162063382,-3.784817836460082,4502.134334128398,3382.728278856501,180.37792089836185,-3.326083728829419
desharnais,gpt,Linear Regression,None,0,3,4.0,1965.077148588908,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,
desharnais,gpt,Decision Tree,None,0,3,,0.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,
desharnais,gpt,Sugeno V1 Label-Level,Quantile,20,3,20.0,1775.19943704911,2039.4670782048936,1381.7182666305182,34.76050353962639,-0.0554755873886729,2264.7018141205917,1618.9652557335653,63.35600878573231,-0.0008292741767216
desharnais,gpt,Sugeno V2 Full Rule-Level,Quantile,20,3,80.0,1105.5857187140175,5426.987674536721,3622.243549661384,93.85992634037557,-6.473644999377357,4346.079808364384,3024.526350593542,120.09496389174592,-3.134203457421568
desharnais,claude,Linear Regression,None,0,3,4.0,1965.077148588908,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,
desharnais,claude,Decision Tree,None,0,3,,0.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,
desharnais,claude,Sugeno V1 Label-Level,Quantile,20,3,20.0,1473.591472052476,1766.4594017797965,1494.5464678915812,46.85529565054335,0.2081879338206891,2250.122851564819,1758.7138590669722,66.41746034495871,-0.0724750906249411
desharnais,claude,Sugeno V2 Full Rule-Level,Quantile,20,3,80.0,396.1031487480735,13218.90629190048,8521.744773370638,240.14524461631507,-43.3410366433253,7721.117155460648,5115.293647933887,190.0804252002294,-15.178228425754844
albrecht,gemini,Sugeno V1 Label-Level,Uniform,20,3,20.0,2.8373580988323224,6.2788262282501766,5.2487316451583625,50.051613974385766,-0.6519061839054943,8.203956154930435,6.675475315878932,119.51080546336888,-6.473270303252912
albrecht,gemini,Sugeno V2 Full Rule-Level,Uniform,20,3,80.0,0.0012251003778917,9.310624164462174,7.883967451442161,67.81628764020317,-2.632336239986977,9.924453961328352,7.591775172450966,69.18336608081508,-4.692455344417102
albrecht,gpt,Sugeno V1 Label-Level,Uniform,20,3,20.0,2.936644984140604,3.2461439548738547,2.933343386108609,28.25748569252278,0.5584661521398732,7.206907591323801,5.813334988097436,113.8319896824892,-6.782855015405533
albrecht,gpt,Sugeno V2 Full Rule-Level,Uniform,20,3,80.0,0.0012027381294364,9.320495814613388,7.516326552494671,68.42473865493255,-2.640042739755255,12.202985118109794,9.04000318458709,87.41975308737058,-8.469588778837382
albrecht,claude,Sugeno V1 Label-Level,Uniform,20,3,20.0,2.6677138985540703,3.1734168306376107,2.6405244452348406,23.11279142294497,0.578028914620017,6.663807484862062,5.521189774982823,91.28881561099132,-2.279139498524164
albrecht,claude,Sugeno V2 Full Rule-Level,Uniform,20,3,80.0,0.0011781135067371,18.134456827534745,12.48189509907928,107.1838503191412,-12.77962996353412,13.15336059195722,9.76224059613786,87.20482550570327,-9.131103242802112
desharnais,gemini,Sugeno V1 Label-Level,Uniform,20,3,20.0,1538.1045636272297,1774.507541175082,1474.2988653526422,46.26560694336283,0.2009563711109099,3398.6044563387536,2020.3503643071897,78.39537507584765,-3.016043781690596
desharnais,gemini,Sugeno V2 Full Rule-Level,Uniform,20,3,80.0,518.933195702407,15527.145928906197,8403.334780743675,168.58545957480794,-60.17839281987846,18916.084009952658,9629.079548705364,290.3315927831497,-90.65698360086272
desharnais,gpt,Sugeno V1 Label-Level,Uniform,20,3,20.0,1544.108661002145,1483.161229004235,1350.1386720600065,46.04379032185222,0.4417978271281565,1961.3393949013105,1534.119154137515,59.799316114017394,0.2306611194488178
desharnais,gpt,Sugeno V2 Full Rule-Level,Uniform,20,3,80.0,517.7026827966839,12344.950014173555,6266.043951658447,130.94841336753234,-37.67171798330271,15697.081423442543,8632.946039114455,292.601504274838,-84.64251456097284
desharnais,claude,Sugeno V1 Label-Level,Uniform,20,3,20.0,1394.6550057130296,1873.2573179071076,1668.7493385601497,56.51753748243243,0.1095497296542481,1891.7327184445455,1515.112466288951,58.83424746047548,0.3251698925838271
