Dataset,LLM,Model,Fuzzification,MF Type,Rules,Inputs,Parameters,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2,Equations JSON,Equations TXT,Train Predictions,Test Predictions,Rule Contributions,Dominant Rules,Model Comparison,Comparison Metrics Figure,Surface Figure
albrecht,gemini,Sugeno V2 Full Rule-Level,Quantile,triangular,20,3,80,0.0007566735601171,0.0005101200127397684,0.006904606389492143,0.9999999897865347,17.473270921394988,14.59015605629758,118.5975602887283,-11.793131757680564,17.30556123611371,13.789737470966752,195.44884931767004,-37.89130282374226,models/sugeno_equations_quantile\triangular\albrecht_gemini_equations.json,models/sugeno_equations_quantile\triangular\albrecht_gemini_equations.txt,reports/predictions/quantile\triangular\albrecht_gemini_train_predictions.csv,reports/predictions/quantile\triangular\albrecht_gemini_test_predictions.csv,reports/rule_analysis/quantile\triangular\albrecht_gemini_rule_contributions.csv,reports/rule_analysis/quantile\triangular\albrecht_gemini_dominant_rules.csv,reports/results/quantile\triangular\albrecht_gemini_triangular_v2_model_comparison.csv,reports/figures/quantile\triangular\albrecht_gemini_triangular_v2_model_comparison_metrics.png,reports/figures/quantile\triangular\albrecht_gemini_sugeno_surface.png
albrecht,gpt,Sugeno V2 Full Rule-Level,Quantile,triangular,20,3,80,0.0006410824525991001,0.00034509873120536216,0.0064992041641908325,0.999999992668653,16.872869613835565,11.760847353298098,111.28236972743449,-10.9290635553306,12.012748294359858,9.794668313965449,155.21319571357625,-19.158270039656,models/sugeno_equations_quantile\triangular\albrecht_gpt_equations.json,models/sugeno_equations_quantile\triangular\albrecht_gpt_equations.txt,reports/predictions/quantile\triangular\albrecht_gpt_train_predictions.csv,reports/predictions/quantile\triangular\albrecht_gpt_test_predictions.csv,reports/rule_analysis/quantile\triangular\albrecht_gpt_rule_contributions.csv,reports/rule_analysis/quantile\triangular\albrecht_gpt_dominant_rules.csv,reports/results/quantile\triangular\albrecht_gpt_triangular_v2_model_comparison.csv,reports/figures/quantile\triangular\albrecht_gpt_triangular_v2_model_comparison_metrics.png,reports/figures/quantile\triangular\albrecht_gpt_sugeno_surface.png
albrecht,claude,Sugeno V2 Full Rule-Level,Quantile,triangular,20,3,80,0.0007571508704676398,0.0005060138748174681,0.008136460602672172,0.9999999897736453,21.381833609431773,12.852219268217391,116.6075275088245,-18.156596100902444,15.675455115145713,11.719490111415306,154.35100668527105,-44.033200406551416,models/sugeno_equations_quantile\triangular\albrecht_claude_equations.json,models/sugeno_equations_quantile\triangular\albrecht_claude_equations.txt,reports/predictions/quantile\triangular\albrecht_claude_train_predictions.csv,reports/predictions/quantile\triangular\albrecht_claude_test_predictions.csv,reports/rule_analysis/quantile\triangular\albrecht_claude_rule_contributions.csv,reports/rule_analysis/quantile\triangular\albrecht_claude_dominant_rules.csv,reports/results/quantile\triangular\albrecht_claude_triangular_v2_model_comparison.csv,reports/figures/quantile\triangular\albrecht_claude_triangular_v2_model_comparison_metrics.png,reports/figures/quantile\triangular\albrecht_claude_sugeno_surface.png
desharnais,gemini,Sugeno V2 Full Rule-Level,Quantile,triangular,20,3,80,1291.1567571639343,569.6455112114821,14.756950494327556,0.7319968106154782,4342.35481578615,3747.952862982788,112.27722162063382,-3.784817836460082,4502.134334128398,3382.728278856501,180.37792089836185,-3.326083728829419,models/sugeno_equations_quantile\triangular\desharnais_gemini_equations.json,models/sugeno_equations_quantile\triangular\desharnais_gemini_equations.txt,reports/predictions/quantile\triangular\desharnais_gemini_train_predictions.csv,reports/predictions/quantile\triangular\desharnais_gemini_test_predictions.csv,reports/rule_analysis/quantile\triangular\desharnais_gemini_rule_contributions.csv,reports/rule_analysis/quantile\triangular\desharnais_gemini_dominant_rules.csv,reports/results/quantile\triangular\desharnais_gemini_triangular_v2_model_comparison.csv,reports/figures/quantile\triangular\desharnais_gemini_triangular_v2_model_comparison_metrics.png,reports/figures/quantile\triangular\desharnais_gemini_sugeno_surface.png
desharnais,gpt,Sugeno V2 Full Rule-Level,Quantile,triangular,20,3,80,1105.5857187140175,508.6919916514908,17.6197897083677,0.8034980530359856,5426.987674536721,3622.2435496613834,93.85992634037557,-6.473644999377357,4346.079808364384,3024.526350593542,120.09496389174592,-3.1342034574215676,models/sugeno_equations_quantile\triangular\desharnais_gpt_equations.json,models/sugeno_equations_quantile\triangular\desharnais_gpt_equations.txt,reports/predictions/quantile\triangular\desharnais_gpt_train_predictions.csv,reports/predictions/quantile\triangular\desharnais_gpt_test_predictions.csv,reports/rule_analysis/quantile\triangular\desharnais_gpt_rule_contributions.csv,reports/rule_analysis/quantile\triangular\desharnais_gpt_dominant_rules.csv,reports/results/quantile\triangular\desharnais_gpt_triangular_v2_model_comparison.csv,reports/figures/quantile\triangular\desharnais_gpt_triangular_v2_model_comparison_metrics.png,reports/figures/quantile\triangular\desharnais_gpt_sugeno_surface.png
desharnais,claude,Sugeno V2 Full Rule-Level,Quantile,triangular,20,3,80,396.1031487480735,191.98683148369147,6.614149778841043,0.9747768915575299,13218.90629190048,8521.744773370638,240.14524461631507,-43.3410366433253,7721.117155460648,5115.293647933887,190.0804252002294,-15.178228425754844,models/sugeno_equations_quantile\triangular\desharnais_claude_equations.json,models/sugeno_equations_quantile\triangular\desharnais_claude_equations.txt,reports/predictions/quantile\triangular\desharnais_claude_train_predictions.csv,reports/predictions/quantile\triangular\desharnais_claude_test_predictions.csv,reports/rule_analysis/quantile\triangular\desharnais_claude_rule_contributions.csv,reports/rule_analysis/quantile\triangular\desharnais_claude_dominant_rules.csv,reports/results/quantile\triangular\desharnais_claude_triangular_v2_model_comparison.csv,reports/figures/quantile\triangular\desharnais_claude_triangular_v2_model_comparison_metrics.png,reports/figures/quantile\triangular\desharnais_claude_sugeno_surface.png
albrecht,gemini,Sugeno V2 Full Rule-Level,Quantile,trapezoidal,20,3,80,0.0006008606306735819,0.00037717882919105494,0.004238774542851508,0.9999999935597386,13.207792564515033,11.141687756465101,100.42131719078526,-6.309521206039981,15.462538967436046,12.229632594827574,182.86634287712636,-31.465176475327997,models/sugeno_equations_quantile\trapezoidal\albrecht_gemini_equations.json,models/sugeno_equations_quantile\trapezoidal\albrecht_gemini_equations.txt,reports/predictions/quantile\trapezoidal\albrecht_gemini_train_predictions.csv,reports/predictions/quantile\trapezoidal\albrecht_gemini_test_predictions.csv,reports/rule_analysis/quantile\trapezoidal\albrecht_gemini_rule_contributions.csv,reports/rule_analysis/quantile\trapezoidal\albrecht_gemini_dominant_rules.csv,reports/results/quantile\trapezoidal\albrecht_gemini_trapezoidal_v2_model_comparison.csv,reports/figures/quantile\trapezoidal\albrecht_gemini_trapezoidal_v2_model_comparison_metrics.png,reports/figures/quantile\trapezoidal\albrecht_gemini_sugeno_surface.png
albrecht,gpt,Sugeno V2 Full Rule-Level,Quantile,trapezoidal,20,3,80,0.0005750637997426497,0.0003276637329800198,0.006096556700051127,0.9999999941008688,14.328465832304857,9.470007755193372,90.52034706641297,-7.602562493448248,10.284497149455095,8.614200282150554,141.15509197504906,-18.25008504947065,models/sugeno_equations_quantile\trapezoidal\albrecht_gpt_equations.json,models/sugeno_equations_quantile\trapezoidal\albrecht_gpt_equations.txt,reports/predictions/quantile\trapezoidal\albrecht_gpt_train_predictions.csv,reports/predictions/quantile\trapezoidal\albrecht_gpt_test_predictions.csv,reports/rule_analysis/quantile\trapezoidal\albrecht_gpt_rule_contributions.csv,reports/rule_analysis/quantile\trapezoidal\albrecht_gpt_dominant_rules.csv,reports/results/quantile\trapezoidal\albrecht_gpt_trapezoidal_v2_model_comparison.csv,reports/figures/quantile\trapezoidal\albrecht_gpt_trapezoidal_v2_model_comparison_metrics.png,reports/figures/quantile\trapezoidal\albrecht_gpt_sugeno_surface.png
albrecht,claude,Sugeno V2 Full Rule-Level,Quantile,trapezoidal,20,3,80,0.0005341961835211475,0.00036196725731957313,0.005151727123456195,0.9999999949095338,22.55348051541492,12.062733051727527,110.44696018646974,-20.313540435927198,13.952111011265696,10.152275633540569,135.3691124027272,-35.1575559473851,models/sugeno_equations_quantile\trapezoidal\albrecht_claude_equations.json,models/sugeno_equations_quantile\trapezoidal\albrecht_claude_equations.txt,reports/predictions/quantile\trapezoidal\albrecht_claude_train_predictions.csv,reports/predictions/quantile\trapezoidal\albrecht_claude_test_predictions.csv,reports/rule_analysis/quantile\trapezoidal\albrecht_claude_rule_contributions.csv,reports/rule_analysis/quantile\trapezoidal\albrecht_claude_dominant_rules.csv,reports/results/quantile\trapezoidal\albrecht_claude_trapezoidal_v2_model_comparison.csv,reports/figures/quantile\trapezoidal\albrecht_claude_trapezoidal_v2_model_comparison_metrics.png,reports/figures/quantile\trapezoidal\albrecht_claude_sugeno_surface.png
desharnais,gemini,Sugeno V2 Full Rule-Level,Quantile,trapezoidal,20,3,80,1291.4720631163282,571.0878510975988,14.801389715714745,0.7318658996034728,10387.258362868251,6442.809366699529,149.34668845434308,-26.378942039170475,5440.3014759131165,3766.3248649575207,182.7306336132486,-7.606950268514969,models/sugeno_equations_quantile\trapezoidal\desharnais_gemini_equations.json,models/sugeno_equations_quantile\trapezoidal\desharnais_gemini_equations.txt,reports/predictions/quantile\trapezoidal\desharnais_gemini_train_predictions.csv,reports/predictions/quantile\trapezoidal\desharnais_gemini_test_predictions.csv,reports/rule_analysis/quantile\trapezoidal\desharnais_gemini_rule_contributions.csv,reports/rule_analysis/quantile\trapezoidal\desharnais_gemini_dominant_rules.csv,reports/results/quantile\trapezoidal\desharnais_gemini_trapezoidal_v2_model_comparison.csv,reports/figures/quantile\trapezoidal\desharnais_gemini_trapezoidal_v2_model_comparison_metrics.png,reports/figures/quantile\trapezoidal\desharnais_gemini_sugeno_surface.png
desharnais,gpt,Sugeno V2 Full Rule-Level,Quantile,trapezoidal,20,3,80,1105.8463461790575,509.6904756367462,17.65108077251295,0.8034053965554611,4936.690130357591,3534.6709347204746,106.82374001657371,-5.18424277485364,3371.189384247065,2553.354899331309,100.68470480681742,-1.6159662859092712,models/sugeno_equations_quantile\trapezoidal\desharnais_gpt_equations.json,models/sugeno_equations_quantile\trapezoidal\desharnais_gpt_equations.txt,reports/predictions/quantile\trapezoidal\desharnais_gpt_train_predictions.csv,reports/predictions/quantile\trapezoidal\desharnais_gpt_test_predictions.csv,reports/rule_analysis/quantile\trapezoidal\desharnais_gpt_rule_contributions.csv,reports/rule_analysis/quantile\trapezoidal\desharnais_gpt_dominant_rules.csv,reports/results/quantile\trapezoidal\desharnais_gpt_trapezoidal_v2_model_comparison.csv,reports/figures/quantile\trapezoidal\desharnais_gpt_trapezoidal_v2_model_comparison_metrics.png,reports/figures/quantile\trapezoidal\desharnais_gpt_sugeno_surface.png
desharnais,claude,Sugeno V2 Full Rule-Level,Quantile,trapezoidal,20,3,80,397.3064100836146,193.90253325217228,6.6772753041428805,0.9746234159335598,8410.666707551803,5801.324790660524,209.79138201155902,-16.95046243151563,9242.152941892035,5739.82945539203,205.94291313857738,-25.5211239112622,models/sugeno_equations_quantile\trapezoidal\desharnais_claude_equations.json,models/sugeno_equations_quantile\trapezoidal\desharnais_claude_equations.txt,reports/predictions/quantile\trapezoidal\desharnais_claude_train_predictions.csv,reports/predictions/quantile\trapezoidal\desharnais_claude_test_predictions.csv,reports/rule_analysis/quantile\trapezoidal\desharnais_claude_rule_contributions.csv,reports/rule_analysis/quantile\trapezoidal\desharnais_claude_dominant_rules.csv,reports/results/quantile\trapezoidal\desharnais_claude_trapezoidal_v2_model_comparison.csv,reports/figures/quantile\trapezoidal\desharnais_claude_trapezoidal_v2_model_comparison_metrics.png,reports/figures/quantile\trapezoidal\desharnais_claude_sugeno_surface.png
