Dataset,LLM,Model,Fuzzification,MF Type,Rules,Inputs,Parameters,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2,Equations JSON,Equations TXT,Train Predictions,Test Predictions,Rule Contributions,Dominant Rules,Final Model Comparison,Final Prediction Comparison,Label Predicted Figure,Final Metrics Figure
albrecht,gemini,Linear Regression,Baseline,,0,3,4.0,4.207548773596196,3.51971790754851,118.75747246798709,0.6841984076758464,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666,,,,,,,,,,,,,,
albrecht,gemini,Decision Tree,Baseline,,0,3,,0.0,0.0,0.0,1.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,,,,,,,,,,,
albrecht,gemini,Sugeno V1 Label-Level,Quantile,gaussian,20,3,20.0,3.2602599394044405,2.521789511756036,46.724160740717,0.8103903429608704,4.2795615249671,3.359583856355338,28.259501931362525,0.2325908021145835,6.109245231682212,5.038931223219284,89.31798582705896,-1.157963264751738,models/sugeno_label_equations_quantile\gaussian\albrecht_gemini_label_equations.json,models/sugeno_label_equations_quantile\gaussian\albrecht_gemini_label_equations.txt,reports/predictions/quantile\gaussian\albrecht_gemini_label_sugeno_train_predictions.csv,reports/predictions/quantile\gaussian\albrecht_gemini_label_sugeno_test_predictions.csv,reports/rule_analysis/quantile\gaussian\albrecht_gemini_label_rule_contributions.csv,reports/rule_analysis/quantile\gaussian\albrecht_gemini_label_dominant_rules.csv,reports/results/quantile\gaussian\albrecht_gemini_gaussian_final_quantile_model_comparison.csv,reports/predictions/quantile\gaussian\albrecht_gemini_gaussian_final_quantile_model_comparison_test.csv,reports/figures/quantile\gaussian\albrecht_gemini_label_sugeno_predicted_vs_actual.png,reports/figures/quantile\gaussian\albrecht_gemini_gaussian_final_quantile_model_comparison_metrics.png
albrecht,gemini,Sugeno V2 Full Rule-Level,Quantile,gaussian,20,3,80.0,0.0093492965408167,0.0050558050256676,0.0935261627037371,0.9999984407567688,23.92539077901256,15.93497385079514,148.84603082197953,-22.985376020094662,11.39323912165078,9.122074131407327,173.40248351683582,-29.2438746617708,,,,,,,,,,
albrecht,gpt,Linear Regression,Baseline,,0,3,4.0,4.207548773596196,3.51971790754851,118.75747246798709,0.6841984076758464,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666,,,,,,,,,,,,,,
albrecht,gpt,Decision Tree,Baseline,,0,3,,0.0,0.0,0.0,1.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,,,,,,,,,,,
albrecht,gpt,Sugeno V1 Label-Level,Quantile,gaussian,20,3,20.0,3.1560427938781617,2.5175777529284527,44.42745263472899,0.8223186831898621,3.6866882557600937,3.1398986583957935,26.31449248190197,0.4304900942481743,5.930822091502762,4.95445430312227,86.84953525398873,-1.1682140581313483,models/sugeno_label_equations_quantile\gaussian\albrecht_gpt_label_equations.json,models/sugeno_label_equations_quantile\gaussian\albrecht_gpt_label_equations.txt,reports/predictions/quantile\gaussian\albrecht_gpt_label_sugeno_train_predictions.csv,reports/predictions/quantile\gaussian\albrecht_gpt_label_sugeno_test_predictions.csv,reports/rule_analysis/quantile\gaussian\albrecht_gpt_label_rule_contributions.csv,reports/rule_analysis/quantile\gaussian\albrecht_gpt_label_dominant_rules.csv,reports/results/quantile\gaussian\albrecht_gpt_gaussian_final_quantile_model_comparison.csv,reports/predictions/quantile\gaussian\albrecht_gpt_gaussian_final_quantile_model_comparison_test.csv,reports/figures/quantile\gaussian\albrecht_gpt_label_sugeno_predicted_vs_actual.png,reports/figures/quantile\gaussian\albrecht_gpt_gaussian_final_quantile_model_comparison_metrics.png
albrecht,gpt,Sugeno V2 Full Rule-Level,Quantile,gaussian,20,3,80.0,0.0166429953212165,0.0093009124234585,0.1684865850292508,0.9999950589530604,27.75168728343785,17.463959267251816,162.00685093003983,-31.27061466408833,8.921359382753884,7.517591561918937,145.46746537081162,-19.227349164100254,,,,,,,,,,
albrecht,claude,Linear Regression,Baseline,,0,3,4.0,4.207548773596196,3.51971790754851,118.75747246798709,0.6841984076758464,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666,,,,,,,,,,,,,,
albrecht,claude,Decision Tree,Baseline,,0,3,,0.0,0.0,0.0,1.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,,,,,,,,,,,
albrecht,claude,Sugeno V1 Label-Level,Quantile,gaussian,20,3,20.0,3.1347861671672623,2.3963729120347703,46.55118143895983,0.824704066745011,5.385671418086664,3.6627433519887576,30.256457731398722,-0.2153690097879819,6.175876730691591,4.874269140283454,89.30291002723526,-1.2207656353532594,models/sugeno_label_equations_quantile\gaussian\albrecht_claude_label_equations.json,models/sugeno_label_equations_quantile\gaussian\albrecht_claude_label_equations.txt,reports/predictions/quantile\gaussian\albrecht_claude_label_sugeno_train_predictions.csv,reports/predictions/quantile\gaussian\albrecht_claude_label_sugeno_test_predictions.csv,reports/rule_analysis/quantile\gaussian\albrecht_claude_label_rule_contributions.csv,reports/rule_analysis/quantile\gaussian\albrecht_claude_label_dominant_rules.csv,reports/results/quantile\gaussian\albrecht_claude_gaussian_final_quantile_model_comparison.csv,reports/predictions/quantile\gaussian\albrecht_claude_gaussian_final_quantile_model_comparison_test.csv,reports/figures/quantile\gaussian\albrecht_claude_label_sugeno_predicted_vs_actual.png,reports/figures/quantile\gaussian\albrecht_claude_gaussian_final_quantile_model_comparison_metrics.png
albrecht,claude,Sugeno V2 Full Rule-Level,Quantile,gaussian,20,3,80.0,0.0105400794638004,0.005883627841133,0.1062730746622155,0.999998018273268,23.511428165079657,14.137947804413251,132.62653317571483,-22.16255546932031,8.239542425969038,6.886434311351495,122.92204943728112,-16.07201799664221,,,,,,,,,,
desharnais,gemini,Linear Regression,Baseline,,0,3,4.0,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,,,,,,,,,,,
desharnais,gemini,Decision Tree,Baseline,,0,3,,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,,,,,,,,,,,
desharnais,gemini,Sugeno V1 Label-Level,Quantile,gaussian,20,3,20.0,1496.0491993480514,1116.3248038853264,50.81712300742735,0.6401895523112161,1498.333002128977,1215.6117345999587,39.167917028870036,0.43031932794887184,1766.2154116197403,1341.7323254805553,53.172237725057144,0.40297246066017045,models/sugeno_label_equations_quantile\gaussian\desharnais_gemini_label_equations.json,models/sugeno_label_equations_quantile\gaussian\desharnais_gemini_label_equations.txt,reports/predictions/quantile\gaussian\desharnais_gemini_label_sugeno_train_predictions.csv,reports/predictions/quantile\gaussian\desharnais_gemini_label_sugeno_test_predictions.csv,reports/rule_analysis/quantile\gaussian\desharnais_gemini_label_rule_contributions.csv,reports/rule_analysis/quantile\gaussian\desharnais_gemini_label_dominant_rules.csv,reports/results/quantile\gaussian\desharnais_gemini_gaussian_final_quantile_model_comparison.csv,reports/predictions/quantile\gaussian\desharnais_gemini_gaussian_final_quantile_model_comparison_test.csv,reports/figures/quantile\gaussian\desharnais_gemini_label_sugeno_predicted_vs_actual.png,reports/figures/quantile\gaussian\desharnais_gemini_gaussian_final_quantile_model_comparison_metrics.png
desharnais,gemini,Sugeno V2 Full Rule-Level,Quantile,gaussian,20,3,80.0,285.6612402364831,206.74996781933976,9.091081204208274,0.986881485720354,23096.87579346855,8359.59571176546,163.7365793219498,-134.36963943827828,11673.008171745048,5356.8152280948,134.4412572892762,-37.36285692617707,,,,,,,,,,
desharnais,gpt,Linear Regression,Baseline,,0,3,4.0,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,,,,,,,,,,,
desharnais,gpt,Decision Tree,Baseline,,0,3,,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,,,,,,,,,,,
