Dataset,LLM,Model,Fuzzification,MF Type,Rules,Inputs,Parameters,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2,Equations JSON,Equations TXT,Train Predictions,Test Predictions,Rule Contributions,Dominant Rules,Final Model Comparison,Final Prediction Comparison,Label Predicted Figure,Final Metrics Figure
albrecht,gemini,Linear Regression,Baseline,,0,3,4.0,4.207548773596196,3.51971790754851,118.75747246798709,0.6841984076758464,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666,,,,,,,,,,,,,,
albrecht,gemini,Decision Tree,Baseline,,0,3,,0.0,0.0,0.0,1.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,,,,,,,,,,,
albrecht,gemini,Sugeno V1 Label-Level,Quantile,triangular,20,3,20.0,2.6545859250433805,2.2978666584576533,32.0953103713976,0.8742958625865931,3.9802595536534113,3.399905170916702,35.25980539528986,0.33617861618304734,7.256870132993313,6.145443852622458,111.07794965274505,-2.578283986414975,models/sugeno_label_equations_quantile\triangular\albrecht_gemini_label_equations.json,models/sugeno_label_equations_quantile\triangular\albrecht_gemini_label_equations.txt,reports/predictions/quantile\triangular\albrecht_gemini_label_sugeno_train_predictions.csv,reports/predictions/quantile\triangular\albrecht_gemini_label_sugeno_test_predictions.csv,reports/rule_analysis/quantile\triangular\albrecht_gemini_label_rule_contributions.csv,reports/rule_analysis/quantile\triangular\albrecht_gemini_label_dominant_rules.csv,reports/results/quantile\triangular\albrecht_gemini_triangular_final_quantile_model_comparison.csv,reports/predictions/quantile\triangular\albrecht_gemini_triangular_final_quantile_model_comparison_test.csv,reports/figures/quantile\triangular\albrecht_gemini_label_sugeno_predicted_vs_actual.png,reports/figures/quantile\triangular\albrecht_gemini_triangular_final_quantile_model_comparison_metrics.png
albrecht,gemini,Sugeno V2 Full Rule-Level,Quantile,triangular,20,3,80.0,0.0007566735601171,0.0005101200127397,0.0069046063894921,0.9999999897865348,17.473270921394988,14.59015605629758,118.5975602887283,-11.793131757680564,17.30556123611371,13.789737470966752,195.44884931767004,-37.89130282374226,,,,,,,,,,
albrecht,gpt,Linear Regression,Baseline,,0,3,4.0,4.207548773596196,3.51971790754851,118.75747246798709,0.6841984076758464,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666,,,,,,,,,,,,,,
albrecht,gpt,Decision Tree,Baseline,,0,3,,0.0,0.0,0.0,1.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,,,,,,,,,,,
albrecht,gpt,Sugeno V1 Label-Level,Quantile,triangular,20,3,20.0,2.2971292319241043,1.7868527279564612,24.58570420706618,0.9058702610323336,9.848227952458759,6.462324306797651,62.4691644760132,-3.0639151926640444,7.326532979068427,5.660828351878013,97.86116082853441,-1.7939187008553326,models/sugeno_label_equations_quantile\triangular\albrecht_gpt_label_equations.json,models/sugeno_label_equations_quantile\triangular\albrecht_gpt_label_equations.txt,reports/predictions/quantile\triangular\albrecht_gpt_label_sugeno_train_predictions.csv,reports/predictions/quantile\triangular\albrecht_gpt_label_sugeno_test_predictions.csv,reports/rule_analysis/quantile\triangular\albrecht_gpt_label_rule_contributions.csv,reports/rule_analysis/quantile\triangular\albrecht_gpt_label_dominant_rules.csv,reports/results/quantile\triangular\albrecht_gpt_triangular_final_quantile_model_comparison.csv,reports/predictions/quantile\triangular\albrecht_gpt_triangular_final_quantile_model_comparison_test.csv,reports/figures/quantile\triangular\albrecht_gpt_label_sugeno_predicted_vs_actual.png,reports/figures/quantile\triangular\albrecht_gpt_triangular_final_quantile_model_comparison_metrics.png
albrecht,gpt,Sugeno V2 Full Rule-Level,Quantile,triangular,20,3,80.0,0.0006410824525991,0.0003450987312053,0.0064992041641908,0.999999992668653,16.872869613835565,11.760847353298098,111.28236972743449,-10.9290635553306,12.012748294359858,9.794668313965447,155.21319571357623,-19.158270039656,,,,,,,,,,
albrecht,claude,Linear Regression,Baseline,,0,3,4.0,4.207548773596196,3.51971790754851,118.75747246798709,0.6841984076758464,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666,,,,,,,,,,,,,,
albrecht,claude,Decision Tree,Baseline,,0,3,,0.0,0.0,0.0,1.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,,,,,,,,,,,
albrecht,claude,Sugeno V1 Label-Level,Quantile,triangular,20,3,20.0,2.5460076826492863,2.1347552594780064,37.649750738170056,0.8843686976471143,5.499472569870057,4.039988440534768,34.88711378307174,-0.2672740207680919,6.64564232852514,5.737316827927482,95.26601851302777,-0.9150930200307187,models/sugeno_label_equations_quantile\triangular\albrecht_claude_label_equations.json,models/sugeno_label_equations_quantile\triangular\albrecht_claude_label_equations.txt,reports/predictions/quantile\triangular\albrecht_claude_label_sugeno_train_predictions.csv,reports/predictions/quantile\triangular\albrecht_claude_label_sugeno_test_predictions.csv,reports/rule_analysis/quantile\triangular\albrecht_claude_label_rule_contributions.csv,reports/rule_analysis/quantile\triangular\albrecht_claude_label_dominant_rules.csv,reports/results/quantile\triangular\albrecht_claude_triangular_final_quantile_model_comparison.csv,reports/predictions/quantile\triangular\albrecht_claude_triangular_final_quantile_model_comparison_test.csv,reports/figures/quantile\triangular\albrecht_claude_label_sugeno_predicted_vs_actual.png,reports/figures/quantile\triangular\albrecht_claude_triangular_final_quantile_model_comparison_metrics.png
albrecht,claude,Sugeno V2 Full Rule-Level,Quantile,triangular,20,3,80.0,0.0007571508704676,0.0005060138748174,0.0081364606026721,0.9999999897736452,21.381833609431773,12.852219268217391,116.6075275088245,-18.156596100902444,15.675455115145713,11.719490111415306,154.35100668527105,-44.033200406551416,,,,,,,,,,
desharnais,gemini,Linear Regression,Baseline,,0,3,4.0,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,,,,,,,,,,,
desharnais,gemini,Decision Tree,Baseline,,0,3,,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,,,,,,,,,,,
desharnais,gemini,Sugeno V1 Label-Level,Quantile,triangular,20,3,20.0,1812.2387645020922,1337.941136957227,58.06358132521049,0.47202561942530463,2614.5496920250803,1721.4638111388188,49.53537097083464,-0.7346369582674659,2553.303744665608,1754.9530904848252,73.27909994318634,-0.31058454017222054,models/sugeno_label_equations_quantile\triangular\desharnais_gemini_label_equations.json,models/sugeno_label_equations_quantile\triangular\desharnais_gemini_label_equations.txt,reports/predictions/quantile\triangular\desharnais_gemini_label_sugeno_train_predictions.csv,reports/predictions/quantile\triangular\desharnais_gemini_label_sugeno_test_predictions.csv,reports/rule_analysis/quantile\triangular\desharnais_gemini_label_rule_contributions.csv,reports/rule_analysis/quantile\triangular\desharnais_gemini_label_dominant_rules.csv,reports/results/quantile\triangular\desharnais_gemini_triangular_final_quantile_model_comparison.csv,reports/predictions/quantile\triangular\desharnais_gemini_triangular_final_quantile_model_comparison_test.csv,reports/figures/quantile\triangular\desharnais_gemini_label_sugeno_predicted_vs_actual.png,reports/figures/quantile\triangular\desharnais_gemini_triangular_final_quantile_model_comparison_metrics.png
desharnais,gemini,Sugeno V2 Full Rule-Level,Quantile,triangular,20,3,80.0,1291.1567571639343,569.6455112114821,14.756950494327556,0.7319968106154782,4342.35481578615,3747.952862982788,112.27722162063382,-3.784817836460082,4502.134334128398,3382.728278856501,180.37792089836185,-3.326083728829419,,,,,,,,,,
desharnais,gpt,Linear Regression,Baseline,,0,3,4.0,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,,,,,,,,,,,
desharnais,gpt,Decision Tree,Baseline,,0,3,,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,,,,,,,,,,,
