sample_index,split,rule_id,antecedent,consequent_label,firing_strength,normalized_firing_strength,label_equation_output,rule_contribution,predicted,RawFPcounts,Input,File,actual
0,all,R1,IF (RawFPcounts IS Low) AND (Input IS Low) AND (File IS Low),Very_Low,0.0,0.0,9.489432967636455,0.0,10.669927134042302,0.5637452474585122,1.0,0.28125,11.1
0,all,R2,IF (RawFPcounts IS Low) AND (Input IS Low) AND (File IS Medium),Very_Low,0.0,0.0,9.489432967636455,0.0,10.669927134042302,0.5637452474585122,1.0,0.28125,11.1
0,all,R3,IF (RawFPcounts IS Low) AND (Input IS Medium) AND (File IS Low),Low,0.0,0.0,-4.998120297831662,-0.0,10.669927134042302,0.5637452474585122,1.0,0.28125,11.1
0,all,R4,IF (RawFPcounts IS Low) AND (Input IS Medium) AND (File IS Medium),Low,0.0,0.0,-4.998120297831662,-0.0,10.669927134042302,0.5637452474585122,1.0,0.28125,11.1
0,all,R5,IF (RawFPcounts IS Low) AND (Input IS High) AND (File IS Low),Medium,0.0,0.0,12.67130850202987,0.0,10.669927134042302,0.5637452474585122,1.0,0.28125,11.1
0,all,R6,IF (RawFPcounts IS Low) AND (Input IS High) AND (File IS High),Medium,0.0,0.0,12.67130850202987,0.0,10.669927134042302,0.5637452474585122,1.0,0.28125,11.1
0,all,R7,IF (RawFPcounts IS Medium) AND (Input IS Low) AND (File IS Low),Low,0.0,0.0,-4.998120297831662,-0.0,10.669927134042302,0.5637452474585122,1.0,0.28125,11.1
0,all,R8,IF (RawFPcounts IS Medium) AND (Input IS Low) AND (File IS Medium),Medium,0.0,0.0,12.67130850202987,0.0,10.669927134042302,0.5637452474585122,1.0,0.28125,11.1
0,all,R9,IF (RawFPcounts IS Medium) AND (Input IS Medium) AND (File IS Low),Medium,0.0012141692018959405,0.003819204542474276,12.67130850202987,0.04839431899004539,10.669927134042302,0.5637452474585122,1.0,0.28125,11.1
0,all,R10,IF (RawFPcounts IS Medium) AND (Input IS Medium) AND (File IS Medium),Medium,0.0012196118262396808,0.0038363244756632713,12.67130850202987,0.048611250945017295,10.669927134042302,0.5637452474585122,1.0,0.28125,11.1
0,all,R11,IF (RawFPcounts IS Medium) AND (Input IS Medium) AND (File IS High),High,0.0,0.0,10.654487300811985,0.0,10.669927134042302,0.5637452474585122,1.0,0.28125,11.1
0,all,R12,IF (RawFPcounts IS Medium) AND (Input IS High) AND (File IS Medium),High,0.3154777600775784,0.9923444709818624,10.654487300811985,10.57292156410724,10.669927134042302,0.5637452474585122,1.0,0.28125,11.1
