rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R7,Medium,R7_OUT,0.13844246088633655,0.20180238624439042,3.439694530738238,3.4401067070429
R18,Very_High,R18_OUT,0.04769081211411981,0.15974002134248944,2.5095641724395525,2.6396638109698563
R1,Very_Low,R1_OUT,0.1489344212894433,0.14321519737405247,0.20746638594032488,0.21422154903952212
R2,Low,R2_OUT,0.09498808541077705,0.11514866415703251,0.3172514985157724,0.6499674188927343
R11,Medium,R11_OUT,0.03545136954986859,0.07075911184382516,-0.6442940950930522,0.6835684287222642
R3,Low,R3_OUT,0.047583957831428915,0.06628768937368651,0.3897318438553796,0.3897318438553796
R8,Medium,R8_OUT,0.03745239533000388,0.06615461117390682,0.9154199372164987,0.9154199372164985
R4,Low,R4_OUT,0.05091495661551827,0.06259453978807915,2.0387805935380054,2.0387805935380054
R10,High,R10_OUT,0.01728091102072852,0.04555775810598358,0.0,0.0
R15,High,R15_OUT,0.01657924392984341,0.03532829776015922,-0.13622614543680397,0.13622614543680397
R13,High,R13_OUT,0.007935922822919144,0.027556756695290136,0.0,0.0
R6,Medium,R6_OUT,0.0023215462161467817,0.003138915317832641,-0.000354370343281502,0.00043734675507957257
R17,High,R17_OUT,0.0013594360963876113,0.0027160508232719257,-0.012830405173925368,0.012830405173925368
R12,Medium,R12_OUT,0.0,0.0,0.0,0.0
R14,High,R14_OUT,0.0,0.0,0.0,0.0
R16,High,R16_OUT,0.0,0.0,0.0,0.0
R19,Very_High,R19_OUT,0.0,0.0,0.0,0.0
R20,Very_High,R20_OUT,0.0,0.0,0.0,0.0
R5,Medium,R5_OUT,0.0,0.0,0.0,0.0
R9,High,R9_OUT,0.0,0.0,0.0,0.0
