rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R12,Medium,R12_OUT,0.13844246088633655,0.20923298384682082,3.5332229705507423,3.533962746276097
R1,Very_Low,R1_OUT,0.1489344212894433,0.14321519737405247,0.20793863171419097,0.2146107405277514
R18,High,R18_OUT,0.04769081211411981,0.12777259987348893,2.114117868677676,2.3402504571732723
R4,Low,R4_OUT,0.09498808541077705,0.11514866415703251,0.31788351519461344,0.6501029896393613
R15,High,R15_OUT,0.01657924392984341,0.07752575258233887,-0.2876324583448922,0.2876324583448922
R13,Medium,R13_OUT,0.03545136954986859,0.07638259981437719,-0.6933753756135455,0.7181647671129603
R2,Low,R2_OUT,0.047583957831428915,0.06584997269879442,0.3866861400182959,0.3866861400182959
R10,Medium,R10_OUT,0.03745239533000388,0.06527987332994448,0.9354044691434116,0.9354044691434116
R9,Low,R9_OUT,0.05091495661551827,0.06259453978807915,2.034399426922724,2.0343994269227235
R19,High,R19_OUT,0.04464062507811166,0.0496156382869173,0.5996830091439496,0.5996830091439496
R5,Medium,R5_OUT,0.0023215462161467817,0.0031274324485793654,-0.0003262452505622364,0.00041719545444481433
R11,Medium,R11_OUT,0.0013594360963876113,0.00263868402431306,-0.011729117227524158,0.011729117227524158
R3,Medium,R3_OUT,0.0006802584933831583,0.0013203910236480971,-0.00293694408321908,0.00293694408321908
R14,High,R14_OUT,0.0002082399480022391,0.0002610321866295561,-2.6917309371686614e-05,2.6917309371686614e-05
R6,Medium,R6_OUT,1.7845606041567373e-05,3.4638564983816746e-05,-2.021204864539751e-06,2.021204864539751e-06
R16,High,R16_OUT,0.0,0.0,0.0,0.0
R17,Medium,R17_OUT,0.0,0.0,0.0,0.0
R20,Very_High,R20_OUT,0.0,0.0,0.0,0.0
R7,Medium,R7_OUT,0.0,0.0,0.0,0.0
R8,High,R8_OUT,0.0,0.0,0.0,0.0
