sample_index,split,rule_id,original_label,sugeno_output,firing_strength,normalized_firing_strength,rule_output,rule_contribution,RawFPcounts,Input,File,actual,predicted
0,all,R1,Very_Low,R1_OUT,0.0,0.0,-3.306949597529421,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R2,Low,R2_OUT,0.0,0.0,5.12125388227131,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R3,Medium,R3_OUT,0.0,0.0,-2.150093922867784,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R4,Low,R4_OUT,0.0,0.0,-16.877238384747574,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R5,Medium,R5_OUT,0.0,0.0,-0.362682484693012,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R6,Medium,R6_OUT,0.0,0.0,-0.05640463069294996,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R7,Medium,R7_OUT,0.0,0.0,0.0,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R8,High,R8_OUT,0.0,0.0,0.0,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R9,Low,R9_OUT,0.0,0.0,44.09587110616704,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R10,Medium,R10_OUT,0.0,0.0,14.136258405790851,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R11,Medium,R11_OUT,0.0,0.0,-4.296771473861569,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R12,Medium,R12_OUT,0.0012141692018959405,0.003819204542474276,-1.9369890172875728,-0.007397757253547482,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R13,Medium,R13_OUT,0.0012196118262396808,0.0038363244756632713,-9.468576596228246,-0.03632453214580285,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R14,High,R14_OUT,0.0,0.0,-0.07877762261255672,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R15,High,R15_OUT,0.3154777600775784,0.9923444709818624,-3.63650546525846,-3.6086660921445577,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R16,High,R16_OUT,0.0,0.0,0.0,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R17,Medium,R17_OUT,0.0,0.0,0.0,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R18,High,R18_OUT,0.0,0.0,-21.85029832954669,-0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R19,High,R19_OUT,0.0,0.0,8.779802464977884,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
0,all,R20,Very_High,R20_OUT,0.0,0.0,0.0,0.0,0.5637452474585122,1.0,0.28125,11.1,-3.6523883815439087
1,all,R1,Very_Low,R1_OUT,0.0,0.0,2.7569429017148837,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R2,Low,R2_OUT,0.0,0.0,4.741352045890154,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R3,Medium,R3_OUT,0.0,0.0,-2.175646307891759,-0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R4,Low,R4_OUT,0.0,0.0,-45.52533971457812,-0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R5,Medium,R5_OUT,0.0,0.0,-0.7831865872833549,-0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R6,Medium,R6_OUT,0.0,0.0,-0.057074960869873466,-0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R7,Medium,R7_OUT,0.0,0.0,0.0,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R8,High,R8_OUT,0.0,0.0,0.0,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R9,Low,R9_OUT,0.0,0.0,40.72621511953148,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R10,Medium,R10_OUT,0.0,0.0,12.919982651262018,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R11,Medium,R11_OUT,0.0,0.0,-4.347835642679403,-0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R12,Medium,R12_OUT,0.06903387802776119,0.24537295155900324,15.500443668023218,3.8033896132969196,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R13,Medium,R13_OUT,0.06934332869123544,0.24647285822552475,-5.22985660906329,-1.28901770654548,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R14,High,R14_OUT,0.0,0.0,-0.08107429775529088,-0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R15,High,R15_OUT,0.0,0.0,-3.4513980933729638,-0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R16,High,R16_OUT,0.0,0.0,0.0,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R17,Medium,R17_OUT,0.0,0.0,0.0,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R18,High,R18_OUT,0.14296544979284415,0.508154190215472,25.30008643245243,12.856344933464316,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R19,High,R19_OUT,0.0,0.0,8.532234002643381,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
1,all,R20,Very_High,R20_OUT,0.0,0.0,0.0,0.0,0.7677169851345398,0.5238095238095238,0.28125,21.1,15.370716840215763
2,all,R1,Very_Low,R1_OUT,0.0,0.0,5.385139648988346,0.0,0.4721864138504968,0.0476190476190476,0.1875,28.8,28.8000145356742
2,all,R2,Low,R2_OUT,0.0,0.0,5.791704774702454,0.0,0.4721864138504968,0.0476190476190476,0.1875,28.8,28.8000145356742
2,all,R3,Medium,R3_OUT,0.0,0.0,-1.8859743290152,-0.0,0.4721864138504968,0.0476190476190476,0.1875,28.8,28.8000145356742
2,all,R4,Low,R4_OUT,0.0,0.0,-31.817070887516984,-0.0,0.4721864138504968,0.0476190476190476,0.1875,28.8,28.8000145356742
2,all,R5,Medium,R5_OUT,0.0,0.0,-0.5457143206241528,-0.0,0.4721864138504968,0.0476190476190476,0.1875,28.8,28.8000145356742
