rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R2,Low,R2_OUT,0.1339822513806324,0.18306496573006853,32.035341465641295,230.1258604260692
R8,Medium,R8_OUT,0.07910996123478835,0.14390619811150104,666.9685250091871,712.3510680869962
R1,Very_Low,R1_OUT,0.0858977471797322,0.11587851072412007,60.08247761374175,113.12652473589068
R11,Medium,R11_OUT,0.0549974729370156,0.11016448083458785,64.37697534296376,1690.3343846998168
R7,Medium,R7_OUT,0.055406982354049554,0.1044402146205235,321.27341003471815,625.5767384580244
R6,Medium,R6_OUT,0.055771202656820194,0.10376540250770373,524.3763768490709,540.1821563972685
R14,High,R14_OUT,0.01755075192080101,0.04623332831613485,1646.8016584846116,1646.8016584846116
R3,Low,R3_OUT,0.02654654314311798,0.0457386717693964,188.8378854913277,422.49422550865484
R10,High,R10_OUT,0.030255310131363317,0.04073492037506312,143.84931469651391,183.72302079958985
R5,Medium,R5_OUT,0.030403381188467776,0.0372291373112239,32.04586239407513,32.04586239407513
R4,Low,R4_OUT,0.017535897160123756,0.03102173930529562,314.20845413864623,314.4033041107428
R18,Very_High,R18_OUT,0.0011276020521842336,0.01644624281005548,-18.94097733674154,108.55675378259532
R15,High,R15_OUT,0.005342906450239095,0.009195955331838888,31.589739771534475,31.589739771534475
R9,High,R9_OUT,0.003582251730054339,0.006508037994879179,80.96402908228337,80.96402908228337
R12,Medium,R12_OUT,0.001137065276700841,0.0018187412585868549,0.0,0.0
R13,High,R13_OUT,0.0006241069858781578,0.0012436497007625514,119.73686193464087,119.73686193464087
R17,High,R17_OUT,0.00033314619466852304,0.0011813319954979726,-706.8482962294411,706.8482962294411
R19,Very_High,R19_OUT,0.0003431706264038788,0.0007732699228290658,1.6514266221979512,1.6514266221979512
R16,High,R16_OUT,0.0002907728095115019,0.0006552013799314158,1.185623099330676,1.185623099330676
R20,Very_High,R20_OUT,0.0,0.0,0.0,0.0
