rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R4,Low,R4_OUT,0.1339822513806324,0.21192079256566057,-11.27874873650431,276.6898154691117
R10,Medium,R10_OUT,0.07910996123478835,0.14384888913811317,677.0131593546168,720.7940847335836
R12,Medium,R12_OUT,0.055771202656820194,0.12916080479106395,786.4039407437574,804.141524217868
R1,Very_Low,R1_OUT,0.0858977471797322,0.11587851072412007,34.65601071749705,111.08137646220958
R13,Medium,R13_OUT,0.0549974729370156,0.11127726720554973,28.195848923475396,1709.1264862870894
R5,Medium,R5_OUT,0.055406982354049554,0.10570401068585507,359.9816542691764,660.0167407145285
R17,Medium,R17_OUT,0.01755075192080101,0.04803991832960656,228.58367344709094,955.8201147192311
R2,Low,R2_OUT,0.02654654314311798,0.04566453656063127,200.15995990314474,434.3490440191168
R9,Low,R9_OUT,0.017535897160123756,0.03102286333117165,333.1201975403422,333.46650529686525
R15,High,R15_OUT,0.005342906450239095,0.02447533850515318,335.79813767717235,531.2369816666048
R7,Medium,R7_OUT,0.003582251730054339,0.013513321295159395,-160.60692547879574,195.325242242671
R18,High,R18_OUT,0.0011276020521842336,0.009678200209295554,3073.3376591738174,3073.3376591738174
R14,High,R14_OUT,0.00010561734116129983,0.0069776198157688865,-2479.9181556173376,2479.9181556173376
R11,Medium,R11_OUT,0.00033314619466852304,0.0011799188890723213,-398.14615333018713,398.14615333018713
R16,High,R16_OUT,0.0003431706264038788,0.0007589882459422425,-32.142158985571385,32.142158985571385
R8,High,R8_OUT,0.0002907728095115019,0.0006431003345813696,-23.07610017187245,23.07610017187245
R3,Medium,R3_OUT,7.766995360688872e-05,0.00013933516008001248,0.0,0.0
R6,Medium,R6_OUT,5.276935988154045e-05,0.00011658421317499673,-0.7551847793465762,0.7551847793465762
R19,High,R19_OUT,0.0,0.0,0.0,0.0
R20,Very_High,R20_OUT,0.0,0.0,0.0,0.0
