rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R4,Low,0.1339822513806324,0.21192079256566057,310.672704051941,310.672704051941
R10,Medium,0.07910996123478835,0.14384888913811317,796.5320403808872,796.5320403808871
R12,Medium,0.055771202656820194,0.12916080479106395,531.8205998251749,531.8205998251749
R1,Very_Low,0.0858977471797322,0.11587851072412007,289.5269879414865,289.5269879414865
R13,Medium,0.0549974729370156,0.11127726720554973,638.6637924430282,638.6637924430282
R5,Medium,0.055406982354049554,0.10570401068585507,462.72341014178886,462.72341014178886
R17,Medium,0.01755075192080101,0.04803991832960656,398.3841398983294,398.3841398983294
R2,Low,0.02654654314311798,0.04566453656063127,153.45367692252333,153.4536769225233
R9,Low,0.017535897160123756,0.03102286333117165,118.67119175284974,118.67119175284974
R15,High,0.005342906450239095,0.02447533850515318,110.5018782785082,110.5018782785082
R7,Medium,0.003582251730054339,0.013513321295159395,64.53794410409945,64.53794410409945
R18,High,0.0011276020521842336,0.009678200209295554,27.280137016004602,27.280137016004602
R14,High,0.00010561734116129983,0.0069776198157688865,16.123777253427463,16.124690651992175
R11,Medium,0.00033314619466852304,0.0011799188890723213,10.980329768232824,10.980329768232824
R16,High,0.0003431706264038788,0.0007589882459422425,0.8148488994154919,0.8148488994154919
R8,High,0.0002907728095115019,0.0006431003345813696,0.6904317723613881,0.6904317723613881
R3,Medium,7.766995360688872e-05,0.00013933516008001248,0.88313881611176,0.88313881611176
R6,Medium,5.276935988154045e-05,0.00011658421317499673,0.894066023567275,0.894066023567275
R19,High,0.0,0.0,0.0,0.0
R20,Very_High,0.0,0.0,0.0,0.0
