rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,R20_OUT,0.022907453977963357,0.21562138573549378,2.23503879817376,2.835961289235981
R1,Very_Low,R1_OUT,0.06273714211420224,0.11881291429778747,0.043327735808784684,0.04429639485317214
R2,Low,R2_OUT,0.044987868787588495,0.1092660842449598,-0.3448665847861032,0.48957469011888816
R17,High,R17_OUT,0.014641831441097703,0.10277250815577896,0.703762199675395,0.7047098380191266
R10,High,R10_OUT,0.011767571085029186,0.0966978626682017,1.6799165920480559,1.6799165920480559
R11,Medium,R11_OUT,0.06104830927985007,0.08622390989573062,0.5612462696077377,0.5686409675424179
R8,Medium,R8_OUT,0.042531206858876736,0.05595769871663533,1.7506946580214042,1.7506946580214044
R18,Very_High,R18_OUT,0.004299356812840537,0.04488654776074044,-0.8144683413778747,0.8144683413778747
R15,High,R15_OUT,0.0128720470973992,0.044576696095663455,-0.39300343474641547,0.39300343474641547
R3,Low,R3_OUT,0.027414201436956952,0.03745961039108135,0.22139697518151863,0.22139697518151863
R7,Medium,R7_OUT,0.01522491963181206,0.030451404258116578,1.5428036854387734,1.5428036854387734
R4,Low,R4_OUT,0.008468278759330913,0.01390956133288052,0.20479444866565144,0.20479444866565144
R5,Medium,R5_OUT,0.004233666589106918,0.013895416300964452,0.7664080199212844,0.7664080199212843
R19,Very_High,R19_OUT,0.0017162729463198936,0.008110226146088462,-0.07011857234421995,0.07011857234421995
R6,Medium,R6_OUT,0.0029659398652871313,0.00798209334034169,-0.06272037732136329,0.06272037732136329
R14,High,R14_OUT,0.00044805244571785715,0.003091739315829206,-0.027798807139187354,0.027798807139187354
R13,High,R13_OUT,0.00018208447136127946,0.002723601608922196,-0.011262956080233772,0.011262956080233772
R12,Medium,R12_OUT,4.947947591339129e-05,0.002560739734783982,-0.019544449593372707,0.019544449593372707
R16,High,R16_OUT,0.0,0.0025,-0.02044397812835698,0.02044397812835698
R9,High,R9_OUT,0.0,0.0025,-0.020443978128276138,0.020443978128276138
