rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,0.022907453977963357,0.21562138573549378,3.1827833845331166,3.182783384533116
R1,Very_Low,0.06273714211420224,0.11881291429778747,0.005979000610467364,0.03350813128053366
R2,Low,0.044987868787588495,0.1092660842449598,0.6478783042628091,0.6478783042628092
R17,High,0.014641831441097703,0.10277250815577896,0.7184707783742852,0.7184707783742852
R10,High,0.011767571085029186,0.0966978626682017,1.6339012912235558,1.6339012912235558
R11,Medium,0.06104830927985007,0.08622390989573062,1.0784024487007926,1.0784024487007926
R8,Medium,0.042531206858876736,0.05595769871663533,1.3845206043430123,1.3845206043430125
R18,Very_High,0.004299356812840537,0.04488654776074044,0.6544231144318433,0.6544231144318433
R15,High,0.0128720470973992,0.044576696095663455,0.45673121118485244,0.45673121118485244
R3,Low,0.027414201436956952,0.03745961039108135,0.22797293830533136,0.22797293830533133
R7,Medium,0.01522491963181206,0.030451404258116578,0.3243344946976145,0.3243344946976145
R4,Low,0.008468278759330913,0.01390956133288052,0.08720377428549952,0.08720377428549951
R5,Medium,0.004233666589106918,0.013895416300964452,0.060897140948987946,0.060897140948987946
R19,Very_High,0.0017162729463198936,0.008110226146088462,0.06761424445097694,0.06761424445097694
R6,Medium,0.0029659398652871313,0.00798209334034169,0.09019873050737955,0.09019873050737955
R14,High,0.00044805244571785715,0.003091739315829206,0.0389167896718944,0.0389167896718944
R13,High,0.00018208447136127946,0.002723601608922196,0.03334773014974393,0.03334773014974393
R12,Medium,4.947947591339129e-05,0.002560739734783982,0.02774457362114255,0.02774457362114255
R16,High,0.0,0.0025,0.029914011079835025,0.029914011079835025
R9,High,0.0,0.0025,0.029914011079835025,0.029914011079835025
