rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,R20_OUT,0.36189371658947633,0.14055944950009064,1.757962018332251,2.074433959802158
R16,High,R16_OUT,0.3339182919370408,0.08982759606304858,-8.952237278725429,8.95223727872543
R19,High,R19_OUT,0.2886736396125301,0.07835722699961606,4.649736568450495,4.649736568450495
R15,High,R15_OUT,0.2646928062066404,0.06458336214834438,-5.312601638834626,5.312601638834627
R3,Medium,R3_OUT,0.27045668175894716,0.06433330730377947,-0.6942264988157515,0.6942264988157514
R14,High,R14_OUT,0.3030999560563727,0.05938356114386856,-1.078996402075819,1.299279099097915
R8,High,R8_OUT,0.23763052675165194,0.0487627247374237,3.3262949001420736,3.335648027133537
R11,Medium,R11_OUT,0.23878750897955067,0.048605887203170835,3.3407455200696154,3.3407455200696154
R6,Medium,R6_OUT,0.24513978597850716,0.04549058441820837,-1.1930490596672556,1.2402645566716182
R18,High,R18_OUT,0.22090022036777315,0.042567302526727295,4.966936174842749,4.966936174842749
R2,Low,R2_OUT,0.1909138455274988,0.040175094678674146,-0.3703564196329167,0.37035641963291666
R1,Very_Low,R1_OUT,0.1900352629438736,0.03941055457002131,-2.8125058321115652,2.8125058321115652
R13,Medium,R13_OUT,0.23558505495368873,0.037614661057836965,-0.9816950181299156,0.9816950181299153
R4,Low,R4_OUT,0.2246837060063815,0.037428469690618374,-2.406624939092358,2.4066249390923575
R7,Medium,R7_OUT,0.18535206973793222,0.034950461989735095,2.112480877669691,2.1164164018265232
R5,Medium,R5_OUT,0.18946924225971298,0.031016389779400765,-0.8109261476082456,0.8360075558575104
R12,Medium,R12_OUT,0.19226010876113106,0.0293145144386792,4.4861809370806105,4.48618093708061
R10,Medium,R10_OUT,0.17128924929609574,0.027376754422604215,0.15795149770419406,0.2891716664962118
R17,Medium,R17_OUT,0.13245802190824313,0.02113679271779374,1.1896455184114019,1.1896455184114019
R9,Low,R9_OUT,0.11956684658283698,0.019105304610358365,4.291083046526561,4.291083046526561
