sample_index,split,rule_id,original_label,sugeno_output,firing_strength,normalized_firing_strength,rule_output,rule_contribution,RawFPcounts,Input,File,actual,predicted
0,all,R1,Very_Low,R1_OUT,1.031537056238687e-06,9.246609324491194e-07,-122.99373350344425,-0.00011372750030669325,0.5637452474585122,1.0,0.28125,11.1,-48.828984381724865
0,all,R2,Low,R2_OUT,7.036071420138521e-06,6.307073818411102e-06,-37.77662960303982,-0.00023825999151714624,0.5637452474585122,1.0,0.28125,11.1,-48.828984381724865
0,all,R3,Medium,R3_OUT,7.405700026088521e-06,6.638405717125278e-06,-42.61535065916096,-0.0002828979874530726,0.5637452474585122,1.0,0.28125,11.1,-48.828984381724865
0,all,R4,Low,R4_OUT,0.00020086886516357236,0.00018005712062288526,-125.53038252848324,-0.022602639228768037,0.5637452474585122,1.0,0.28125,11.1,-48.828984381724865
0,all,R5,Medium,R5_OUT,0.0013701181870542905,0.0012281621418687753,-60.505316785166826,-0.07431033945731925,0.5637452474585122,1.0,0.28125,11.1,-48.828984381724865
0,all,R6,Medium,R6_OUT,0.0014420951249259145,0.001292681649030143,-62.57806752472919,-0.08089351952098657,0.5637452474585122,1.0,0.28125,11.1,-48.828984381724865
0,all,R7,Medium,R7_OUT,0.07744324541672422,0.06941945816277557,56.57188198714756,3.9271893947962675,0.5637452474585122,1.0,0.28125,11.1,-48.828984381724865
0,all,R8,High,R8_OUT,0.08151160077219956,0.07306629686214823,65.48046690329645,4.78441523342833,0.5637452474585122,1.0,0.28125,11.1,-48.828984381724865
0,all,R9,Low,R9_OUT,3.9309047006018224e-06,3.5236291162244614e-06,319.10864320032647,0.0011244205064195533,0.5637452474585122,1.0,0.28125,11.1,-48.828984381724865
0,all,R10,Medium,R10_OUT,2.6812537709544815e-05,2.4034527862950715e-05,24.615095312184437,0.0005916121941298844,0.5637452474585122,1.0,0.28125,11.1,-48.828984381724865
0,all,R11,Medium,R11_OUT,2.822109091257153e-05,2.5297142822091368e-05,104.86950740310891,0.002652898906458814,0.5637452474585122,1.0,0.28125,11.1,-48.828984381724865
0,all,R12,Medium,R12_OUT,0.0007654561331564378,0.0006861482847878946,198.5246241575372,0.13621733035385558,0.5637452474585122,1.0,0.28125,11.1,-48.828984381724865
