rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R16,High,R16_OUT,0.35687968865099173,0.13265118353357747,14773.927184104046,14773.927184104046
R20,Very_High,R20_OUT,0.4552924095676677,0.11780112806455582,18013.090761388394,18288.220326772975
R18,Very_High,R18_OUT,0.3816416329434735,0.09140796694715016,-31979.40704788339,31979.407047883386
R13,High,R13_OUT,0.3204067587732107,0.06668421904550774,-4141.926562686352,4938.262286037216
R19,Very_High,R19_OUT,0.30435308356706803,0.06074219399368703,-7236.017717012903,7572.692973299272
R6,Medium,R6_OUT,0.31523761962590724,0.05883018465692412,-2514.808283860336,4355.391319427058
R15,Medium,R15_OUT,0.22285389986853124,0.04946891916860447,3269.935170583635,4152.602364372784
R11,High,R11_OUT,0.2642015618912035,0.046913499316311884,10707.818776256609,10707.818776256609
R5,Low,R5_OUT,0.24664435516165273,0.045032300351073,810.1589169501727,2151.7461656221417
R17,High,R17_OUT,0.2540757960183171,0.042928311460927876,-6869.964357216257,6869.964357216257
R14,Medium,R14_OUT,0.19992794287125717,0.03951415824271154,-5728.9662301061135,6001.970906951399
R12,High,R12_OUT,0.21468560361507485,0.0369481977389906,-2157.9353596327214,2605.5586480144507
R3,Low,R3_OUT,0.19607477771446147,0.03002666953445427,7035.270367351619,7035.270367351619
R1,Very_Low,R1_OUT,0.1681869226094994,0.028491452425318177,327.0455853772762,1052.10578014143
R4,Low,R4_OUT,0.1910832152544717,0.02726202204978777,5580.854557005055,5580.941087516154
R8,Low,R8_OUT,0.15622808879986477,0.02669141280266343,3665.6214200339164,3665.6214200339164
R10,Medium,R10_OUT,0.17946776452125843,0.02569763479503669,3877.030364543292,3877.0303645432928
R2,Very_Low,R2_OUT,0.1595852354168395,0.025251748068309477,91.60223029313998,2504.9734942078626
R9,Medium,R9_OUT,0.16936704125363022,0.0249252557710606,-5288.2233160596725,5294.761035456959
R7,Low,R7_OUT,0.14195913932994456,0.02273154203334785,2473.935451335617,2473.9356728443054
