rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,R20_OUT,0.4552924095676677,0.18438122782878436,1863.658176140666,2071.584987193615
R19,Very_High,R19_OUT,0.3204067587732107,0.07700196184148499,-1257.814797454047,4773.475026369158
R17,High,R17_OUT,0.2326370121703324,0.07407461349976202,6310.041547245119,6310.04154724512
R14,High,R14_OUT,0.22285389986853124,0.06769819808058507,7642.754098299339,8396.999903854805
R16,High,R16_OUT,0.31523761962590724,0.06150076451712753,-1072.5210595727397,2496.984532037622
R18,Very_High,R18_OUT,0.2540757960183171,0.05262203651668942,-18965.158186049095,18965.158186049095
R12,Medium,R12_OUT,0.19992794287125717,0.048116742221034355,-7377.225919709466,7377.225919709466
R13,High,R13_OUT,0.2426168724312927,0.04596311230014425,3031.4820635698975,6924.0363057388495
R5,Medium,R5_OUT,0.24664435516165273,0.04389404941670865,-1731.3886992181765,2175.56496374783
R10,High,R10_OUT,0.22144796566977057,0.04235828030720811,1730.8369834006905,3841.1727239406646
R15,High,R15_OUT,0.21468560361507485,0.03933971043189207,-8233.820699893842,8315.98180347457
R9,High,R9_OUT,0.22915719871753512,0.037932577323010065,-3061.099463431824,3061.099463431824
R8,Medium,R8_OUT,0.15622808879986477,0.030619758653026734,677.7236741308025,1449.31215666937
R2,Low,R2_OUT,0.19607477771446147,0.03024987743945983,9229.388356129955,9229.388356129955
R1,Very_Low,R1_OUT,0.1681869226094994,0.029981136273423827,1374.1507233828024,1701.3848646999304
R11,Medium,R11_OUT,0.17946776452125843,0.02834251691285324,8537.336704833115,8537.336704833115
R7,Medium,R7_OUT,0.1910832152544717,0.028199479150525897,4678.851171904047,4679.4037274496095
R3,Low,R3_OUT,0.1595852354168395,0.026950130557048965,1630.804107757376,2607.016585671122
R6,Medium,R6_OUT,0.16936704125363022,0.02602465054881944,-3856.5658909441427,3874.7862060657585
R4,Low,R4_OUT,0.14195913932994456,0.024749176180411187,3850.2939626424945,3850.2939626424954
