rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,0.18327910038467962,0.18087463316548724,2.6801550330063564,2.6801550330063564
R1,Very_Low,0.12436713458054634,0.12659189657991293,0.5344357532962712,0.5344357532962711
R3,Low,0.11842872509257138,0.10386392373436641,0.7328298113284274,0.7328298113284274
R19,Very_High,0.1081861077461034,0.09417463946530281,1.4557419692285503,1.4557419692285505
R10,Medium,0.10551002103445914,0.07587556890005445,1.111060011794502,1.111060011794502
R11,High,0.04756906077348065,0.06392126105765929,0.23714929529051645,0.2788332963195511
R5,Medium,0.030704100255620165,0.06286732198388972,0.5501499791451487,0.5501499791451487
R8,Medium,0.06934124078457904,0.061200360873391015,1.41121257923793,1.41121257923793
R9,Medium,0.030033320809798387,0.043929897583903144,0.5262289365484875,0.5262289365484875
R2,Very_Low,0.04205094962208687,0.042372193966386335,0.24544554011200814,0.2454455401120082
R12,High,0.022883639284265254,0.02418356948992108,0.39512887170705613,0.4368128727360908
R7,Low,0.016238008068022808,0.02021133783292379,0.3031661710026994,0.30316617100269944
R17,High,0.01769271962524497,0.019856778675945513,0.1516162769230452,0.19330027795207988
R18,Very_High,0.012149382080597237,0.018282873708922287,0.3022954074123975,0.3022954074123975
R13,High,0.011441819642132627,0.015841784744960542,0.20611037562528164,0.2477943766543163
R4,Low,0.007614575392499325,0.01321333892492604,0.16674331945223653,0.16674331945223655
R15,High,0.0027226853182587595,0.009369663693710057,0.027847307394670413,0.06953130842370507
R16,High,0.0010015649452269175,0.008143705906863802,0.02210049919487701,0.06378450022391166
R14,Medium,0.00031298904538341237,0.007725249711473545,0.09650352816910521,0.09650352816910521
R6,Medium,0.0,0.0075000000000000015,0.09166449594228376,0.09166449594228376
