rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,R20_OUT,0.18327910038467962,0.2519939809744971,2.5796155480058998,3.5130933378982627
R1,Very_Low,R1_OUT,0.12436713458054634,0.12159189657991291,0.04371593724958313,0.044689832504615626
R17,High,R17_OUT,0.04796931873937005,0.10380619896975855,0.7000477922040321,0.7061374108881315
R10,High,R10_OUT,0.06735696035914415,0.09835707648111605,1.7087798109757593,1.7087798109757593
R2,Low,R2_OUT,0.11842872509257138,0.09762454660554032,-1.0809657983574403,1.08096579835744
R11,Medium,R11_OUT,0.10551002103445914,0.07534283476499773,0.574246268514068,0.574246268514068
R8,Medium,R8_OUT,0.06934124078457904,0.056998086920702296,1.8404989643307128,1.8404989643307126
R3,Low,R3_OUT,0.04205094962208687,0.03737219396638633,0.22407934850537975,0.22407934850537975
R5,Medium,R5_OUT,0.030704100255620165,0.027829563485079666,1.5151425801364067,1.515142580136407
R15,High,R15_OUT,0.022883639284265254,0.027512670692326623,-0.24919484455557286,0.24919484455557286
R7,Medium,R7_OUT,0.030033320809798387,0.02434995673042324,1.3280831550549974,1.3280831550549976
R18,Very_High,R18_OUT,0.01769271962524497,0.023447923757388058,-0.4836814503847087,0.4836814503847087
R4,Low,R4_OUT,0.016238008068022808,0.015211337832923782,0.2061135838618943,0.2061135838618943
R19,Very_High,R19_OUT,0.011441819642132627,0.01500633534616331,-0.1351270812772193,0.1351270812772193
R6,Medium,R6_OUT,0.007614575392499325,0.008213338924926043,-0.06644516536126169,0.06644516536126169
R14,High,R14_OUT,0.0027226853182587595,0.004473102349520597,-0.04360924005361634,0.043609240053616334
R13,High,R13_OUT,0.0010015649452269175,0.003143705906863802,-0.0021836789891462568,0.002741251055301152
R12,Medium,R12_OUT,0.00031298904538341237,0.0027252497114735445,-0.01901719399832979,0.01901719399832979
R16,High,R16_OUT,0.0,0.0025,-0.021059318035688255,0.021059318035688255
R9,High,R9_OUT,0.0,0.0025,-0.021059318036382425,0.021059318036382425
