rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,R20_OUT,0.18327910038467962,0.24027692808400114,3.0314203037044978,3.031420303704498
R4,Low,R4_OUT,0.11842872509257138,0.12295411009061999,0.15888765855923775,0.78456966630016
R1,Very_Low,R1_OUT,0.12436713458054634,0.12159189657991294,0.14092461471993914,0.14092461471993914
R3,Medium,R3_OUT,0.07720984162568563,0.0778695152071733,0.47639318282426224,0.47639318282426224
R13,Medium,R13_OUT,0.10551002103445914,0.07065087835885542,0.4783204697274293,0.47832046972742936
R12,Medium,R12_OUT,0.030033320809798387,0.07030605296948006,3.2520007524860164,3.2520007524860164
R10,Medium,R10_OUT,0.06934124078457904,0.05625113996247618,1.590465820721458,1.5904658207214581
R11,Medium,R11_OUT,0.04796931873937005,0.045418184679734075,0.7298879021150354,0.7298879021150354
R14,High,R14_OUT,0.04756906077348065,0.041372841943144466,-0.2067475617917708,0.2067475617917708
R2,Low,R2_OUT,0.04205094962208687,0.03737219396638633,0.2535197007217856,0.2535197007217856
R15,High,R15_OUT,0.022883639284265254,0.027512670692326623,0.6795702619905629,0.6795702619905629
R18,High,R18_OUT,0.01769271962524497,0.02133216168645933,0.08754795047112823,0.08754795047112823
R19,High,R19_OUT,0.012149382080597237,0.016523771387817344,0.8396470745055922,0.8396470745055922
R9,Low,R9_OUT,0.016238008068022808,0.015247200412558781,0.568820541066972,0.568820541066972
R16,High,R16_OUT,0.011441819642132627,0.01500633534616331,0.3670047143485279,0.3670047143485279
R5,Medium,R5_OUT,0.007614575392499325,0.00821333892492604,0.1555822271487249,0.1555822271487249
R17,Medium,R17_OUT,0.0027226853182587595,0.004363071348059494,0.07757578979950416,0.07757578979950416
R6,Medium,R6_OUT,0.0002739785922141296,0.00273770835990519,0.06050415587363944,0.06050415587363944
R7,Medium,R7_OUT,0.0,0.0025,0.054439166708262154,0.054439166708262154
R8,High,R8_OUT,0.0,0.0025,0.05443916670824321,0.05443916670824321
