rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R16,High,R16_OUT,0.17044257112750263,0.18589409104754714,944.1748594719068,1254.678010295487
R5,Low,R5_OUT,0.11005978439956692,0.1547945205479452,208.8326028010899,208.83260280108988
R1,Very_Low,R1_OUT,0.09033563997552134,0.09098606926563678,298.2353996399013,298.2353996399013
R6,Medium,R6_OUT,0.03929529727439627,0.06127313865003523,-0.6615001976787526,254.76418301066357
R19,Very_High,R19_OUT,0.04499863403972992,0.05036121973966744,118.37501764124079,284.2764618463954
R18,Very_High,R18_OUT,0.04531085353003159,0.04627812387621267,223.33285172103035,230.84063747725045
R2,Very_Low,R2_OUT,0.04448282812920576,0.043638857654040915,-133.27500682870627,201.07442505482442
R8,Low,R8_OUT,0.03976940305163563,0.042128379797441017,498.40326887330264,511.5360185025755
R13,High,R13_OUT,0.039667108557961434,0.03951849649064393,133.66606280173377,381.41215911751016
R11,High,R11_OUT,0.030411185515029988,0.03949435031786029,675.607742043873,675.6077420438729
R15,Medium,R15_OUT,0.031179919483396816,0.034938920566973425,272.66340322154207,307.2655081828309
R12,High,R12_OUT,0.021892964947906778,0.03442479076000759,119.33122462801772,150.82501476359144
R4,Low,R4_OUT,0.030253102982943404,0.031291681872077697,155.55471331219823,203.94539420554077
R20,Very_High,R20_OUT,0.0236652616789603,0.026751121482933484,344.2017517239581,366.6831996153418
R9,Medium,R9_OUT,0.009658157426606395,0.02584308936989232,17.588912122903267,105.54828327510805
R7,Low,R7_OUT,0.02409780527323612,0.024331489887538818,-148.66170341084617,154.18425330931828
R17,High,R17_OUT,0.02080462565183323,0.0220370047540738,131.9628142763802,159.57014149543355
R3,Low,R3_OUT,0.020241962058089723,0.021728517105823745,-35.459302194671864,63.11549855809102
R10,Medium,R10_OUT,0.01713625969379055,0.020176547772552633,64.784478140549,110.6662780835922
R14,Medium,R14_OUT,0.0,0.004109589041095891,-159.00822237070264,159.00822237070264
