rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R1,Very_Low,0.02850293542074365,0.09763427114725506,249.18806126892855,249.18806126892852
R7,Medium,0.00821482931071972,0.0785057362325636,211.00902128139,211.00902128139
R10,Medium,0.018527370102006453,0.06623477512170377,256.7967620067283,256.7967620067283
R11,Medium,0.010403933965577802,0.0651205006585978,247.78104077416899,247.78104077416893
R14,High,0.007315857893459933,0.06304729277972838,346.2052636514188,346.2052636514189
R17,Medium,0.008572786972929602,0.06285062683123088,285.56918996339726,285.56918996339726
R15,High,0.004635363041661588,0.05775082931391788,261.23581544719934,261.2358154471994
R2,Low,0.01478147423352903,0.05614591763615631,87.24087782092872,156.3883300259931
R19,High,0.005506360667861869,0.05453446824784691,258.09800673440725,258.09800673440725
R16,High,0.005362393886613632,0.048562095449839984,230.49575416005135,230.49575416005135
R5,Medium,0.016307893020221793,0.04622058832573573,148.84508641480866,148.8450864148087
R12,Medium,0.004999158093706889,0.03933295688727671,141.91221723768209,141.91221723768209
R18,High,0.0034172287760377957,0.03928057737885207,209.32409868282616,209.32409868282613
R13,Medium,0.015245746110030826,0.03773497958008471,128.9772165361621,128.9772165361621
R9,Low,0.005437085157463637,0.03762167694214652,96.73964378772187,165.88709599278627
R20,Very_High,0.000777741459404312,0.03243291498640905,509.9165947024574,509.9165947024573
R8,High,0.0012628832354859751,0.03232354481051847,147.0077783969236,147.0077783969236
R3,Medium,0.0017409001956947162,0.03083058782729322,109.28015055533196,109.28015055533194
R4,Low,0.006242661448140904,0.028974798803319646,9.320409029343695,93.93087101751179
R6,Medium,0.0009017612524461838,0.024860861039523303,80.637880750142,80.637880750142
